Age,M Spline,S Spline,L Spline,Male,Param
3,-0.119775594,0.184307362,0,1,fev1
3.25,-0.113955454,0.171160981,0,1,fev1
3.5,-0.108403308,0.158994969,0,1,fev1
3.75,-0.103089676,0.147679297,0,1,fev1
4,-0.098034902,0.137110566,0,1,fev1
4.25,-0.093400837,0.127211229,0,1,fev1
4.5,-0.089323742,0.117916644,0,1,fev1
4.75,-0.085870633,0.109172031,0,1,fev1
5,-0.08301778,0.100933825,0,1,fev1
5.25,-0.080725362,0.093163853,0,1,fev1
5.5,-0.078954147,0.085827647,0,1,fev1
5.75,-0.077625596,0.078894526,0,1,fev1
6,-0.076629683,0.072337153,0,1,fev1
6.25,-0.075875612,0.066130609,0,1,fev1
6.5,-0.075290208,0.060252124,0,1,fev1
6.75,-0.074832888,0.054680771,0,1,fev1
7,-0.074514202,0.049397165,0,1,fev1
7.25,-0.074347806,0.044383519,0,1,fev1
7.5,-0.074343502,0.039623524,0,1,fev1
7.75,-0.074508043,0.035102191,0,1,fev1
8,-0.074823324,0.030805517,0,1,fev1
8.25,-0.0751916,0.026719872,0,1,fev1
8.5,-0.07551283,0.022832583,0,1,fev1
8.75,-0.07570389,0.019132025,0,1,fev1
9,-0.075695829,0.015607502,0,1,fev1
9.25,-0.075431615,0.012249159,0,1,fev1
9.5,-0.074860414,0.009047749,0,1,fev1
9.75,-0.073916845,0.005993827,0,1,fev1
10,-0.072537805,0.003078378,0,1,fev1
10.25,-0.070671054,0.00029313,0,1,fev1
10.5,-0.068273636,-0.002369527,0,1,fev1
10.75,-0.065310536,-0.004916603,0,1,fev1
11,-0.061753529,-0.00735457,0,1,fev1
11.25,-0.057581415,-0.009689409,0,1,fev1
11.5,-0.052812865,-0.011926584,0,1,fev1
11.75,-0.047505135,-0.014071079,0,1,fev1
12,-0.041712276,-0.01612753,0,1,fev1
12.25,-0.035483352,-0.018100261,0,1,fev1
12.5,-0.028862958,-0.019993309,0,1,fev1
12.75,-0.021891672,-0.021810449,0,1,fev1
13,-0.01460646,-0.023555217,0,1,fev1
13.25,-0.007041031,-0.025230925,0,1,fev1
13.5,0.000772006,-0.026840657,0,1,fev1
13.75,0.008773402,-0.0283869,0,1,fev1
14,0.016886095,-0.029871683,0,1,fev1
14.25,0.025040024,-0.031296943,0,1,fev1
14.5,0.033172115,-0.032664538,0,1,fev1
14.75,0.041225603,-0.03397625,0,1,fev1
15,0.049149418,-0.035233793,0,1,fev1
15.25,0.056897642,-0.036438809,0,1,fev1
15.5,0.064429016,-0.037592879,0,1,fev1
15.75,0.071706506,-0.038697519,0,1,fev1
16,0.078696905,-0.039754188,0,1,fev1
16.25,0.085373739,-0.040764216,0,1,fev1
16.5,0.091728764,-0.041728537,0,1,fev1
16.75,0.09775948,-0.042647968,0,1,fev1
17,0.10346408,-0.043523323,0,1,fev1
17.25,0.108841384,-0.044355407,0,1,fev1
17.5,0.113890765,-0.045145017,0,1,fev1
17.75,0.118612098,-0.045892945,0,1,fev1
18,0.123005703,-0.046599967,0,1,fev1
18.25,0.127072297,-0.047266853,0,1,fev1
18.5,0.130812954,-0.04789436,0,1,fev1
18.75,0.134229065,-0.048483234,0,1,fev1
19,0.137322301,-0.049034207,0,1,fev1
19.25,0.140094604,-0.049548003,0,1,fev1
19.5,0.142553,-0.050025371,0,1,fev1
19.75,0.144715578,-0.050467148,0,1,fev1
20,0.146600993,-0.05087416,0,1,fev1
20.25,0.148226832,-0.05124721,0,1,fev1
20.5,0.149609679,-0.051587076,0,1,fev1
20.75,0.150765184,-0.051894517,0,1,fev1
21,0.151708117,-0.052170268,0,1,fev1
21.25,0.152452425,-0.052415044,0,1,fev1
21.5,0.153011281,-0.052629541,0,1,fev1
21.75,0.153397135,-0.052814434,0,1,fev1
22,0.153621752,-0.052970381,0,1,fev1
22.25,0.15369626,-0.053098019,0,1,fev1
22.5,0.153631182,-0.05319797,0,1,fev1
22.75,0.153436475,-0.053270838,0,1,fev1
23,0.153121563,-0.053317212,0,1,fev1
23.25,0.152695354,-0.053337687,0,1,fev1
23.5,0.152166213,-0.05333299,0,1,fev1
23.75,0.151542039,-0.053303868,0,1,fev1
24,0.150830316,-0.053251042,0,1,fev1
24.25,0.150038139,-0.053175207,0,1,fev1
24.5,0.149172229,-0.053077033,0,1,fev1
24.75,0.148238961,-0.052957165,0,1,fev1
25,0.147244378,-0.052816226,0,1,fev1
25.25,0.146194214,-0.052654818,0,1,fev1
25.5,0.145093904,-0.052473519,0,1,fev1
25.75,0.143948606,-0.052272891,0,1,fev1
26,0.142763215,-0.052053473,0,1,fev1
26.25,0.141542372,-0.051815788,0,1,fev1
26.5,0.140290484,-0.051560341,0,1,fev1
26.75,0.139011733,-0.05128762,0,1,fev1
27,0.137710088,-0.050998097,0,1,fev1
27.25,0.136389316,-0.050692227,0,1,fev1
27.5,0.135052993,-0.050370453,0,1,fev1
27.75,0.13370446,-0.050033201,0,1,fev1
28,0.132345912,-0.049680914,0,1,fev1
28.25,0.130978568,-0.049314038,0,1,fev1
28.5,0.129603563,-0.048933008,0,1,fev1
28.75,0.128221973,-0.048538243,0,1,fev1
29,0.126834828,-0.048130148,0,1,fev1
29.25,0.125443106,-0.047709114,0,1,fev1
29.5,0.124047741,-0.04727552,0,1,fev1
29.75,0.122649622,-0.046829733,0,1,fev1
30,0.121249596,-0.046372107,0,1,fev1
30.25,0.11984847,-0.045902984,0,1,fev1
30.5,0.118447015,-0.045422697,0,1,fev1
30.75,0.117045962,-0.044931568,0,1,fev1
31,0.11564601,-0.044429906,0,1,fev1
31.25,0.114247825,-0.043918014,0,1,fev1
31.5,0.11285204,-0.043396184,0,1,fev1
31.75,0.11145926,-0.042864698,0,1,fev1
32,0.110070059,-0.04232383,0,1,fev1
32.25,0.108684985,-0.041773847,0,1,fev1
32.5,0.107304559,-0.041215005,0,1,fev1
32.75,0.105929279,-0.040647554,0,1,fev1
33,0.104559617,-0.040071737,0,1,fev1
33.25,0.103195985,-0.039487789,0,1,fev1
33.5,0.101838102,-0.038895943,0,1,fev1
33.75,0.100485103,-0.03829643,0,1,fev1
34,0.099136143,-0.037689471,0,1,fev1
34.25,0.097790409,-0.037075285,0,1,fev1
34.5,0.096447126,-0.036454081,0,1,fev1
34.75,0.095105549,-0.035826064,0,1,fev1
35,0.093764967,-0.035191432,0,1,fev1
35.25,0.092424697,-0.034550377,0,1,fev1
35.5,0.091084086,-0.033903086,0,1,fev1
35.75,0.089742509,-0.033249739,0,1,fev1
36,0.088399368,-0.032590514,0,1,fev1
36.25,0.087054089,-0.031925581,0,1,fev1
36.5,0.085706124,-0.031255106,0,1,fev1
36.75,0.084354948,-0.030579251,0,1,fev1
37,0.083000059,-0.029898173,0,1,fev1
37.25,0.081640976,-0.029212023,0,1,fev1
37.5,0.080277239,-0.028520951,0,1,fev1
37.75,0.078908408,-0.027825101,0,1,fev1
38,0.077534064,-0.027124612,0,1,fev1
38.25,0.076153802,-0.02641962,0,1,fev1
38.5,0.07476724,-0.025710259,0,1,fev1
38.75,0.07337401,-0.024996657,0,1,fev1
39,0.07197376,-0.02427894,0,1,fev1
39.25,0.070566155,-0.023557229,0,1,fev1
39.5,0.069150874,-0.022831643,0,1,fev1
39.75,0.067727613,-0.022102298,0,1,fev1
40,0.06629601,-0.021369316,0,1,fev1
40.25,0.064855563,-0.02063284,0,1,fev1
40.5,0.063405765,-0.019893012,0,1,fev1
40.75,0.061946131,-0.01914997,0,1,fev1
41,0.060476196,-0.018403848,0,1,fev1
41.25,0.058995517,-0.017654776,0,1,fev1
41.5,0.057503667,-0.016902881,0,1,fev1
41.75,0.056000239,-0.016148285,0,1,fev1
42,0.054484844,-0.015391107,0,1,fev1
42.25,0.052957109,-0.014631464,0,1,fev1
42.5,0.051416678,-0.013869468,0,1,fev1
42.75,0.04986321,-0.013105228,0,1,fev1
43,0.048296381,-0.01233885,0,1,fev1
43.25,0.04671588,-0.011570438,0,1,fev1
43.5,0.045121411,-0.010800091,0,1,fev1
43.75,0.043512691,-0.010027908,0,1,fev1
44,0.04188945,-0.009253983,0,1,fev1
44.25,0.040251431,-0.008478407,0,1,fev1
44.5,0.03859839,-0.007701271,0,1,fev1
44.75,0.036930093,-0.006922662,0,1,fev1
45,0.035246319,-0.006142663,0,1,fev1
45.25,0.033546857,-0.005361358,0,1,fev1
45.5,0.031831507,-0.004578825,0,1,fev1
45.75,0.030100079,-0.003795143,0,1,fev1
46,0.028352392,-0.003010387,0,1,fev1
46.25,0.026588275,-0.002224631,0,1,fev1
46.5,0.024807568,-0.001437946,0,1,fev1
46.75,0.023010116,-0.000650401,0,1,fev1
47,0.021195775,0.000137935,0,1,fev1
47.25,0.019364409,0.000926998,0,1,fev1
47.5,0.01751589,0.001716724,0,1,fev1
47.75,0.015650106,0.002507049,0,1,fev1
48,0.01376715,0.003297898,0,1,fev1
48.25,0.011867282,0.004089186,0,1,fev1
48.5,0.009950768,0.004880829,0,1,fev1
48.75,0.008017865,0.005672745,0,1,fev1
49,0.006068828,0.006464856,0,1,fev1
49.25,0.004103907,0.007257085,0,1,fev1
49.5,0.002123347,0.008049357,0,1,fev1
49.75,0.00012739,0.0088416,0,1,fev1
50,-0.001883729,0.009633744,0,1,fev1
